feature_name,input_type,null_count_before_imputation,imputation_strategy,used_in_model
add_to_cart_count,LongType(),0,median,True
distinct_add_to_cart_sku_count,LongType(),0,median,True
days_since_last_add_to_cart,IntegerType(),277087,median,True
add_to_cart_count_30d,LongType(),0,median,True
add_to_cart_count_60d,LongType(),0,median,True
add_to_cart_count_90d,LongType(),0,median,True
remove_from_cart_count,LongType(),0,median,True
distinct_remove_from_cart_sku_count,LongType(),0,median,True
days_since_last_remove_from_cart,IntegerType(),1619944,median,True
remove_from_cart_count_30d,LongType(),0,median,True
remove_from_cart_count_60d,LongType(),0,median,True
remove_from_cart_count_90d,LongType(),0,median,True
product_buy_count,LongType(),0,median,True
distinct_product_buy_sku_count,LongType(),0,median,True
days_since_last_product_buy,IntegerType(),1410577,median,True
product_buy_count_30d,LongType(),0,median,True
product_buy_count_60d,LongType(),0,median,True
product_buy_count_90d,LongType(),0,median,True
distinct_cart_category_count,LongType(),0,median,True
avg_cart_price,DoubleType(),277087,median,True
max_cart_price,LongType(),277087,median,True
distinct_bought_category_count,LongType(),0,median,True
avg_bought_price,DoubleType(),1410577,median,True
max_bought_price,LongType(),1410577,median,True
search_query_count,LongType(),0,median,True
distinct_search_days,LongType(),0,median,True
days_since_last_search_query,IntegerType(),1519157,median,True
search_query_count_30d,LongType(),0,median,True
search_query_count_60d,LongType(),0,median,True
search_query_count_90d,LongType(),0,median,True
active_days_count,LongType(),0,median,True
is_eligible_purchase_propensity,IntegerType(),0,median,True
buy_to_cart_ratio,DoubleType(),277087,median,True
remove_to_cart_ratio,DoubleType(),277087,median,True
cart_minus_remove_count,LongType(),0,median,True
search_to_cart_ratio,DoubleType(),277087,median,True
