feature_left,family_left,feature_right,family_right,correlation,absolute_correlation,correlation_status
add_to_cart_count,add_to_cart_activity,distinct_add_to_cart_sku_count,add_to_cart_activity,0.939947,0.939947,ok
add_to_cart_count,add_to_cart_activity,add_to_cart_count_30d,add_to_cart_activity,0.707872,0.707872,ok
add_to_cart_count,add_to_cart_activity,add_to_cart_count_60d,add_to_cart_activity,0.881492,0.881492,ok
add_to_cart_count,add_to_cart_activity,add_to_cart_count_90d,add_to_cart_activity,0.971731,0.971731,ok
add_to_cart_count,add_to_cart_activity,product_buy_count,product_buy_activity,0.515526,0.515526,ok
add_to_cart_count,add_to_cart_activity,distinct_product_buy_sku_count,product_buy_activity,0.517325,0.517325,ok
add_to_cart_count,add_to_cart_activity,product_buy_count_30d,product_buy_activity,0.378311,0.378311,ok
add_to_cart_count,add_to_cart_activity,product_buy_count_60d,product_buy_activity,0.465715,0.465715,ok
add_to_cart_count,add_to_cart_activity,product_buy_count_90d,product_buy_activity,0.508823,0.508823,ok
add_to_cart_count,add_to_cart_activity,remove_from_cart_count,remove_from_cart_activity,0.863718,0.863718,ok
add_to_cart_count,add_to_cart_activity,distinct_remove_from_cart_sku_count,remove_from_cart_activity,0.844767,0.844767,ok
add_to_cart_count,add_to_cart_activity,remove_from_cart_count_30d,remove_from_cart_activity,0.636877,0.636877,ok
add_to_cart_count,add_to_cart_activity,remove_from_cart_count_60d,remove_from_cart_activity,0.784386,0.784386,ok
add_to_cart_count,add_to_cart_activity,remove_from_cart_count_90d,remove_from_cart_activity,0.848726,0.848726,ok
add_to_cart_count,add_to_cart_activity,search_query_count,search_activity,0.522343,0.522343,ok
add_to_cart_count,add_to_cart_activity,distinct_search_days,search_activity,0.500574,0.500574,ok
add_to_cart_count,add_to_cart_activity,search_query_count_30d,search_activity,0.38671,0.38671,ok
add_to_cart_count,add_to_cart_activity,search_query_count_60d,search_activity,0.462842,0.462842,ok
add_to_cart_count,add_to_cart_activity,search_query_count_90d,search_activity,0.513066,0.513066,ok
add_to_cart_count,add_to_cart_activity,days_since_last_add_to_cart,recency_features,-0.035567,0.035567,ok
add_to_cart_count,add_to_cart_activity,days_since_last_remove_from_cart,recency_features,0.16082,0.16082,ok
add_to_cart_count,add_to_cart_activity,days_since_last_product_buy,recency_features,-0.026784,0.026784,ok
add_to_cart_count,add_to_cart_activity,days_since_last_search_query,recency_features,0.104705,0.104705,ok
add_to_cart_count,add_to_cart_activity,buy_to_cart_ratio,ratio_features,0.015971,0.015971,ok
add_to_cart_count,add_to_cart_activity,remove_to_cart_ratio,ratio_features,0.134459,0.134459,ok
add_to_cart_count,add_to_cart_activity,cart_minus_remove_count,ratio_features,0.834386,0.834386,ok
add_to_cart_count,add_to_cart_activity,search_to_cart_ratio,ratio_features,0.028322,0.028322,ok
add_to_cart_count,add_to_cart_activity,distinct_cart_category_count,product_metadata_features,0.815009,0.815009,ok
add_to_cart_count,add_to_cart_activity,avg_cart_price,product_metadata_features,-0.001118,0.001118,ok
add_to_cart_count,add_to_cart_activity,max_cart_price,product_metadata_features,0.154591,0.154591,ok
add_to_cart_count,add_to_cart_activity,distinct_bought_category_count,product_metadata_features,0.432117,0.432117,ok
add_to_cart_count,add_to_cart_activity,avg_bought_price,product_metadata_features,0.006267,0.006267,ok
add_to_cart_count,add_to_cart_activity,max_bought_price,product_metadata_features,0.06606,0.06606,ok
add_to_cart_count,add_to_cart_activity,is_eligible_purchase_propensity,cohort_indicator,,,skipped_constant_feature
add_to_cart_count,add_to_cart_activity,active_days_count,overall_activity,0.590784,0.590784,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,add_to_cart_count_30d,add_to_cart_activity,0.646651,0.646651,ok
