feature_name,feature_family,non_null_count,distinct_count,stddev,min,max,is_constant
add_to_cart_count,add_to_cart_activity,1703581,328,6.673662,0,1174,False
distinct_add_to_cart_sku_count,add_to_cart_activity,1703581,272,4.68736,0,750,False
add_to_cart_count_30d,add_to_cart_activity,1703581,205,3.516656,0,531,False
add_to_cart_count_60d,add_to_cart_activity,1703581,269,5.050833,0,873,False
add_to_cart_count_90d,add_to_cart_activity,1703581,315,6.155449,0,1021,False
product_buy_count,product_buy_activity,1703581,147,2.330305,0,644,False
distinct_product_buy_sku_count,product_buy_activity,1703581,114,1.735643,0,235,False
product_buy_count_30d,product_buy_activity,1703581,94,1.167695,0,382,False
product_buy_count_60d,product_buy_activity,1703581,120,1.749525,0,644,False
product_buy_count_90d,product_buy_activity,1703581,135,2.149322,0,644,False
remove_from_cart_count,remove_from_cart_activity,1703581,242,4.102719,0,854,False
distinct_remove_from_cart_sku_count,remove_from_cart_activity,1703581,222,3.282843,0,571,False
remove_from_cart_count_30d,remove_from_cart_activity,1703581,154,2.108767,0,515,False
remove_from_cart_count_60d,remove_from_cart_activity,1703581,195,3.038653,0,643,False
remove_from_cart_count_90d,remove_from_cart_activity,1703581,230,3.772285,0,812,False
search_query_count,search_activity,1703581,592,14.9715,0,2482,False
distinct_search_days,search_activity,1703581,79,1.633368,0,104,False
search_query_count_30d,search_activity,1703581,274,5.460077,0,773,False
search_query_count_60d,search_activity,1703581,403,9.430228,0,1401,False
search_query_count_90d,search_activity,1703581,524,13.02993,0,2217,False
days_since_last_add_to_cart,recency_features,1472580,110,31.469001,1,109,False
days_since_last_remove_from_cart,recency_features,407540,110,31.536766,1,109,False
days_since_last_product_buy,recency_features,593056,110,31.478173,1,109,False
days_since_last_search_query,recency_features,481564,110,31.765646,1,109,False
buy_to_cart_ratio,ratio_features,1472580,2243,0.571812,0.0,114.5,False
remove_to_cart_ratio,ratio_features,1472580,2893,0.461332,0.0,60.0,False
cart_minus_remove_count,ratio_features,1703581,255,3.751348,-207,700,False
search_to_cart_ratio,ratio_features,1472580,6303,4.472195,0.0,1463.0,False
distinct_cart_category_count,product_metadata_features,1703581,134,2.283074,0,239,False
avg_cart_price,product_metadata_features,1472580,19662,25.522621,0.0,99.0,False
max_cart_price,product_metadata_features,1472580,103,25.435652,0,99,False
distinct_bought_category_count,product_metadata_features,1703581,71,1.200791,0,107,False
avg_bought_price,product_metadata_features,593056,7816,24.027798,0.0,99.0,False
max_bought_price,product_metadata_features,593056,103,23.974667,0,99,False
is_eligible_purchase_propensity,cohort_indicator,1703581,1,0.0,1,1,True
active_days_count,overall_activity,1703581,82,1.962914,1,104,False
